,tot_med,tot_lo,tot_hi,type,age_group
df_nonhosp_chronic_12m7,30954.62999,23202.21425,39067.73685,nonhosp_chronic_12m,"[70,80)"
df_nonhosp_chronic_30m7,6806.346192,3811.564244,11242.1345,nonhosp_chronic_30m,"[70,80)"
df_nonhosp_subac7,65441.73125,50524.81354,79776.7435,nonhosp_subac,"[70,80)"
df_yld_hosp_chronic7,879.0776237,307.184685,1851.58496,yld_hosp_chronic,"[70,80)"
df_yld_hosp_acute7,10.38541947,4.001211155,25.87715488,yld_hosp_acute,"[70,80)"
df_yld_hosp_subac7,89.60641138,30.72179542,248.1804022,yld_hosp_subac,"[70,80)"
df_yld_nh_chronic7,21492.84211,7481.540796,41630.94652,yld_nh_chronic,"[70,80)"
df_yld_nh_acute7,253.1905598,100.2791436,592.1549379,yld_nh_acute,"[70,80)"
df_yld_nh_subac7,2175.292512,774.4642893,5883.628118,yld_nh_subac,"[70,80)"
df_yld_acute7,263.1953325,104.3870441,616.7040883,yld_acute,"[70,80)"
df_yld_subac7,2269.158082,805.2352357,6133.773738,yld_subac,"[70,80)"
df_yld_chronic7,22373.21729,7833.859216,43500.11531,yld_chronic,"[70,80)"
df_yll7,13896.70371,9473.831808,19966.44008,yll,"[70,80)"
df_daly7,39247.15749,22976.13488,62725.46404,daly,"[70,80)"
symp8,82184.52136,63827.44641,100258.0092,symptomatic,"[80,90)"
asymp8,74577.22059,56503.73272,92934.29554,asymptomatic,"[80,90)"
df_hosp8,3224.783158,2305.985497,4544.343602,hospitalisation,"[80,90)"
df_hosp_acute8,1105.66339,774.8653357,1570.415772,hospitalisation_acute,"[80,90)"
df_hosp_chronic_6m8,698.251822,500.4689378,985.9765329,hospitalisation_chronic6m,"[80,90)"
df_hosp_chronic_12m8,424.2212254,292.9025072,620.7851837,hospitalisation_chronic12m,"[80,90)"
df_hosp_chronic_30m8,93.94221497,50.29011152,164.6550157,hospitalisation_chronic30m,"[80,90)"
df_hosp_subac8,898.9613745,640.4959506,1257.076144,hospitalisation_subacute,"[80,90)"
df_hosp_fatal8,924.6907091,666.1657176,1251.179076,fatal,"[80,90)"
df_nonhosp8,78801.3155,61471.30543,96102.78069,nonhospitalisation,"[80,90)"
df_nonhosp_acute8,26885.69251,20895.32783,33647.70135,nonhosp_acute,"[80,90)"
df_nonhosp_chronic_6m8,17128.64849,13299.8998,20931.6573,nonhosp_chronic_6m,"[80,90)"
df_nonhosp_chronic_12m8,10397.60366,7793.581452,13122.78122,nonhosp_chronic_12m,"[80,90)"
df_nonhosp_chronic_30m8,2286.23925,1280.297439,3776.212242,nonhosp_chronic_30m,"[80,90)"
df_nonhosp_subac8,21981.7581,16971.19288,26796.86269,nonhosp_subac,"[80,90)"
df_yld_hosp_chronic8,295.2805747,103.1827739,621.9440262,yld_hosp_chronic,"[80,90)"
df_yld_hosp_acute8,3.488443311,1.343999628,8.692089256,yld_hosp_acute,"[80,90)"
df_yld_hosp_subac8,30.09862965,10.31939541,83.36334308,yld_hosp_subac,"[80,90)"
df_yld_nh_chronic8,7219.406293,2513.036052,13983.75947,yld_nh_chronic,"[80,90)"
df_yld_nh_acute8,85.04624291,33.68358666,198.9037529,yld_nh_acute,"[80,90)"
df_yld_nh_subac8,730.6767519,260.1411274,1976.299858,yld_nh_subac,"[80,90)"
df_yld_acute8,88.40682735,35.06342283,207.1497717,yld_acute,"[80,90)"
df_yld_subac8,762.2060272,270.4770314,2060.323308,yld_subac,"[80,90)"
df_yld_chronic8,7515.1227,2631.37916,14611.60972,yld_chronic,"[80,90)"
df_yll8,5642.762572,3861.100805,8017.492147,yll,"[80,90)"
df_daly8,14209.32404,8511.714017,22257.13436,daly,"[80,90)"
